sehir,grup,kosuCinsi,mesafe,pist,siklet,yas,handikap,jokey,tam_salise
Bursa,3_ve_Yukari_Ingilizler,KV_6_Disi,1500,Cim,56,5ydk,48,HalilKAPLAN,9067
Bursa,4_ve_Yukari_Araplar,SARTLI_5,1200,Kum,59,5ykk,89,NurettinSEN,8082
Bursa,3_Yasli_Ingilizler,Maiden,2000,Cim,55,3yde,26,MertGokalpARSLAN,12698
Elazig,2_Yasli_Ingilizler,SARTLI_4,1200,Kum,57,2yde,31,FeritYARDIMCI,7848
Elazig,3_Yasli_Araplar,Maiden,1500,Kum,53,3yke,25,BurhanSARIDAL,11407
Elazig,3_ve_Yukari_Ingilizler,Handikap_14_Disi_H3,1200,Kum,55.5,5ydk,29,MuhammedBaranCAKMAK,7609
Elazig,3_Yasli_Ingilizler,SARTLI_3,2000,Kum,56,3ydd,34,IsmailKATI,13739
Elazig,4_ve_Yukari_Araplar,SARTLI_3_Disi,2000,Kum,62,5yak,38,SadikALTAY,15014
Elazig,4_ve_Yukari_Araplar,Handikap_14_H3,1200,Kum,52.5,5yaa,24,AliSENBAHAR,8411
Istanbul,2_Yasli_Ingilizler,Maiden,1500,Sentetik,54,2yae,36,VedatABIS,9468
Istanbul,2_Yasli_Ingilizler,SARTLI_4,1200,Cim,55,2yad,42,HalisKARATAS,7295
Istanbul,3_ve_Yukari_Ingilizler,Handikap_17_Disi_H1,1500,Sentetik,50,4ydk,57,VedatABIS,9166
Istanbul,3_Yasli_Araplar,Handikap_14_H2,1400,Cim,56.5,3yae,45,HismanCIZIK,9384
Istanbul,4_Yasli_Araplar,KV_7,2100,Cim,58,4yka,70,AyhanKURSUN,14234
Istanbul,3_ve_Yukari_Ingilizler,SARTLI_4,1900,Cim,55,5yda,82,ErcanCANKAYA,11563
Istanbul,3_Yasli_Ingilizler,G_3,2200,Cim,58,3yae,85,HalisKARATAS,13639
Istanbul,4_ve_Yukari_Araplar,Handikap_15_Disi_H1,1900,Cim,51.5,5ykk,33,MetinHAMEDI,12949
Izmir,2_Yasli_Ingilizler,Maiden,1400,Kum,57,2yde,35,MertcanCELIK,8956
Izmir,2_Yasli_Ingilizler,SARTLI_2,1300,Cim,52,2ydd,19,NevzatAVCI,8031
Izmir,4_Yasli_Araplar,SARTLI_4_Disi,1800,Cim,54,4yak,38,AlicanINCI,12441
Izmir,4_ve_Yukari_Araplar,SARTLI_4,1400,Kum,57.5,5yka,77,MertcanCELIK,9633
Izmir,4_ve_Yukari_Araplar,Handikap_15_H2,2000,Cim,50,4yaa,37,HalilKAPLAN,13564
Izmir,2_Yasli_Ingilizler,Maiden,1400,Kum,57,2yde,38,MertcanCELIK,8932
Izmir,3_Yasli_Ingilizler,SARTLI_5_Disi,1900,Cim,54,3ydd,35,NevzatAVCI,11813
